"Absa"
"Agribank"
"Agricultural Bank of China"
"Akbank"
"Al Rajhi Bank"
"Australia and New Zealand Banking Group"
"Australia and New Zealand Banking Group (ANZ)"
"Axis Bank"
"Banamex"
"Banco de la Nación"
"Banco do Brazil"
"Banco Macro"
"Banco Popolare Hungary Bank Zrt"
"Banco Santander"
"Banco Santander Río"
"Bangkok Bank"
"BANK ANZ INDONESIA"
"BANK ARTHA GRAHA"
"BANK BJB"
"BANK BUKOPIN"
"Bank Central Asia (BCA)"
"BANK CENTRAL ASIA (BCA)"
"Bank Danamon"
"BANK DBS INDONESIA"
"BANK DKI"
"BANK EKONOMI"
"BANK HSBC INDONESIA"
"BANK KEB HANA INDONESIA"
"Bank Mandiri"
"BANK MANDIRI"
"BANK MAYBANK INDONESIA"
"BANK MEGA"
"BANK MEGA SYARIAH"
"BANK MUAMALAT"
"BANK NASIONAL INDONESIA (BNI)"
"Bank Negara Indonesia (BNI)"
"BANK OCBC NISP"
"Bank Ochrony Srodowiska"
"Bank of Ayudhya (Krungsri)"
"Bank of Baroda"
"Bank of China"
"Bank of China (Hong Kong)"
"BANK OF CHINA (Hongkong) LIMITED"
"Bank of Communications"
"Bank of India"
"Bank of Montreal"
"Bank of Moscow"
"Bank of Nova Scotia"
"Bank of Queensland"
"Bank of Taipei"
"Bank of Taiwan"
"Bank Rakyat Indonesia (BRI)"
"BANK RAKYAT INDONESIA (BRI)"
"BANK SINARMAS"
"BANK SYARIAH INDONESIA (BSI)"
"BANK SYARIAH MANDIRI"
"BANK TABUNGAN NEGARA (BTN)"
"BANK UOB INDONESIA"
"BANK WOORI SAUDARA INDONESIA 1906"
"Bank Zachodni WBK"
"Banorte"
"Banque cantonale de Genève"
"Banque Saudi Fransi"
"Barclays"
"BBVA Banco Frances"
"BBVA Bancomer"
"BDO"
"BIDV"
"BII"
"BNI SYARIAH"
"BNP Paribas"
"BPI"
"Bradesco"
"BRI SYARIAH"
"BTN SYARIAH"
"BTPN"
"Busan Bank"
"Caixa Economica"
"Canadian Imperial Bank of Commerce"
"Canara Bank"
"Česká spořitelna"
"China CITIC Bank"
"China Construction Bank"
"China Construction Bank Corporation"
"China Merchants Bank"
"China Minsheng Bank"
"CIB Bank"
"CIMB"
"CIMB"
"CIMB NIAGA"
"CITIBANK"
"Citibank New Zealand"
"Citibank Taiwan"
"Citibank Zrt"
"COMMONWEALTH"
"Commonwealth Bank"
"Commonwealth Bank of Australia (CBA)"
"Credit Suisse"
"ČSOB"
"Daegu Bank"
"DANAMON"
"DBS Bank"
"Eximbank"
"FirstRand"
"Garanti Bank"
"Gazprombank"
"Hang Seng Bank"
"HDFC Bank"
"Hong Leong Bank"
"Hongkong and Shanghai Banking Corporation (HSBC)"
"HSBC"
"HSBC"
"HSBC Bank Poland"
"HSBC Holdings"
"HSBC Mexico"
"Industrial and Commercial Bank of China"
"Industrial Bank of Korea"
"Investec"
"Itau Unibanco"
"Julius Baer Group"
"K&H Bank Ltd"
"KASIKORNBANK"
"KEB HANA BANK"
"Komerční banka"
"KOOK MIN BANK"
"Korea Development Bank"
"Korea Eximbank"
"Krungthai Bank"
"Land Bank of Taiwan"
"Landbank"
"LIPPO BANK"
"Lloyds Banking Group"
"Lloyds Banking Group"
"Malayan Banking"
"Maybank"
"Metrobank"
"MNC BANK"
"National Agricultural Cooperative Federation"
"National Australia Bank"
"National Australia Bank (NAB)"
"National Bank of Poland"
"National Commercial Bank"
"Nedbank"
"OCBC Bank"
"OTP Bank"
"PANIN BANK"
"PERMATA BANK"
"PKO Bank Polski"
"PNB"
"Postal Savings Bank of China"
"Public Bank Berhad"
"RABOBANK"
"Raiffeisenbank CZ"
"RHB Bank"
"Riyad Bank"
"Rosselkhozbank"
"Royal Bank of Canada"
"Royal Bank of Scotland Group"
"Samba"
"Santander"
"Santander Mexico"
"Sberbank"
"Shanghai Commercial and Savings Bank"
"SHINHAN BANK"
"Siam Commercial Bank"
"Standard Bank Group"
"Standard Chartered"
"STANDARD CHARTERED BANK"
"Standard Chartered Bank (Hong Kong)"
"The Bank of East Asia"
"Toronto-Dominion Bank"
"Türkiye İş Bankası"
"UBS"
"UBS AG"
"UniCredit Bank CZ"
"United Kingdom HSBC Holdings"
"United Overseas Bank"
"Vietcombank"
"VietinBank"
"VTB"
"Westpac"
"Westpac Banking Corporation (Westpac)"
"WOORI BANK"
"Yapı ve Kredi Bankası"
"Ziraat Bankası"
"Zurich Cantonal Bank"
"みずほ銀行"
"りそな銀行"
"三井住友銀行"
"三菱東京UFJ銀行"
